comment,polarity
pelatih timnas tinggal nya belandapiye,1
kultur sepakbola eropa pelatih pemain asisten bersinergi menerima saran kemajuan tim bersamasemoga singkat bulanbisa solid lagidi tunggu friendly match nya,1
trio pelatih belanda cetar membahana aura pk mental pk kuat banget danny alex,1
yg sdh positif jaman sty pelatih timnas bhs inggris gak pake penerjemah lg,1
namanya pelatih kepala berbicara klub liga indonesia beda kemaren diem diem bae,1
josssss psis otw liga,0
klivert sosok pelatih yg menghargai klub timnas berjalan dgn,1
sikat bos,1
ahli taktik ahli perang ya realistis aja liat kualitas timnas minimal juara,1
mudah ntuk tampil wc kerja keras pemain pelatih hasil bagus raih smoga timnas lolos wc doakan,1
komentator udah mengomentari,0
aja kasih pangunggung orang,1
eric thohir keliru memecat sty tdk jaminan indonesia dilatih patric kluivert piala duniasangat suliitt indonesia lolos piala dunia,1
tunggu aj hasil yg orng hebat yg penuhi timnas indonesia,1
etmau dilanjut gk project pemain usul nya pelatih tim fight maksimal timnas indonesia,1
woy tv one kagak denger kritikan yah ngapin ngundangin si akmal sih emosi aja nih tv one,1
akmal tunggu hasil pertandingan terakhirjgn puji duluntar laen lg ngomongnya,1
bubarin aja liga habisin uang,1
lupakan kegagalan masuk olimpiade terbang pildun semangat harapan,1
bagis koment nya kritik membangun proporsional bangun optimisme trs masukan,1
pa diperkuat striker kuat gelandang top dh beda sty pegang komposisi pemainya,1
dg mengganti sty beban beratnya buktikan kemampuanya dri sty proses lgi pembuktian,1
klu kalahkan australia dg kualitasnya,0
nunggu buktinya aja,1
klo indonesia blom pildun asumsi akmal berfikir pake logika sepak bola menit apapun ga sangka dukung suport doakan timnas perasaan pesimis anak bangsa selallu mendukung tanah airnyaberfikir next level berpacu sejarah sejarah rubah komposisi materi pemain timnas skarang musuh selimut sepakbola nalarcerdas ya dungu,1
nunggu pantesnya kpn bosss ya mumpung ketua erick yg dlm membangun timnas yukkk doakan yg terbaik indonesia aamiin,1
tumben niih akmal bicara santun pencerahan,1
akmal tau bolamantan pemain sepak bola gak,1
dar nol lagibukan dr nol lagipengamat ling lung undang,1
sty pelatih terbaik sejarah sepak bola indonesia pk garuda terbang sdngkn sty membangun timnas garuda dalm keterpurukan malu mengenakan sayapnya muis mila bukn pelatih kaleng tp tdk dapt merubah timnas indonesia garuda terbang bravo timnas ku lihat pk,1
akmal penjual tempe pengamat sepak bola,1
oportunity dr orang km salahkan,0
peluang timas lolos piala dunia dgn skuad pelatih n asisten nya skrg mnurut gua,1
layak lolos langsung negara asia jepang superior yg peluang yg kecuali indonesia jgn blunder kayak lawan china sampe dikadalin sast lawan bahrain utk kalinya,1
towel akmal ngapa gak pssi rekrut team pelatih analisis timnas aja dewa banget nalisisnya,1
lolos harga mati,1
filing gak lolos drama lapangan bertanding kepelatihannya sendri bilang layak tergantung menit bermain pemain sendri club mreka,1
akmal towel berusaha menggagalkan program naturalisasi,1
kalo belom optimis,1
msh manusia pssi,1
msh manusia pssi,1
msh manusia pssi,1
kampanye exit door gaungkan arya tdk target pildun ulang akmal hahahaha silahkan menilai,1
klo cuman bicara berukpun,0
mohon kedepannya komentator bola background sepakbola tersertifikasi bunyi,1
ambisi kecerdasan et peluang muncul,1
berharap indo lolos pildun,1
oalah,0
namanya jg usaha tdk lolos takdirnya hehe,1
timnas layak blm layaknya kepildun patut cobadi usahakan semaksimal mgkinkenapa tdak timnas hrs berjuangkt pemain yg bertalentapemain abroad dllkita trasa skrg optimis tdk sprt timnas sblumnya asean aja skrg drop bertemu timnas asia jg berfikir utk hadapi timnas remehkita sdh dikenal asia dunia bola ayo timnas tunjukkan semangat mu utk pildun,1
koyok akmalkok dipercoyo omonganemuak,0
indonesia juara,0
timnas layak piala duniatapi knp gak mencobanya takut gagalberjuanglah perjuanganmu gak sia masuk pildun,1
kl gk masuk pildun ya sadar ja timnas sekuat tp harapkan indonesia masuk piala dunia,1
,0
layak dipaksakan,1
yg bilang indonesia blm piala dunia ni allah bagimu allah yg tidk selagi allah selagi berdoa timnas insya allah indonesia piala dunia,1
investasi et,0
nara sumbernya mantan pelatih pemain bolacuma komentator bolamending liat stand,1
tv one kontrak akmal asu duit,0
asisten pelatih denny kayaknya mendadak mendampingi kluivert indonesia buktinya kemejanya aja dikasih pinjam presiden prabowo,1
ga paham akmal mending lu belajar memahami konteks,1
sty diganti profesor sepak bola eropa,1
gara kulivert spt kyk bencana korupsi,1
lini pemerintah kuasai media asli emang udah brcampur politik jd susah maju,1
kalo pildun pemain naturalisasi maju tahap barikutnya level permainan ngincer striker grade ole,1
peluang timnas terbuka lebar ketambahan natulisasi ole jairo kartu lulus pildun raun ragu,1
wow akmal aga waras,1
tv yg sllu ngundang narsumnya aj nyari viewersklo bola narsumnya towel akmal dah gtu aj trus biar yg nonton n hujat bnyakorang gk berkcimpung dunia bola jdiin narsum,1
layak komposisi pemain diaspora grade optimis mengedepankan fakta lapangan bro,1
klo timnas round posisi lolos langsung piala dunia timnas layak tugas berbenah utk bersaing dgn timnas dunia indonesia,1
akmal ngomong blom layaksemua negara kalo udah masuk ronde layak ente kadang kalo ngomongdoain biyar masuk pildun ente bener,1
tim tembus piala dunia layak bertanding disana,1
blm layak pildun klo blm layak dpt peluang segede skrg hayo,1
si akmal beda jaman esteye ngomel diaspora penjilat wkwkwk,1
udh g bs ditawar timnas hrs lolos pildunklo g bs meloloskan timnas ngapain susah memecat styklo pelatih skrg g ditarget lolos ya pecat,1
pengamat ngomong tau bola layak piala dunia tinggal langkah pildun,1
terimakasih coach shin welcome kluivert,1
ga heran gw ama orang dr jg sty melatih uda keliatan ga suka krn job uda ga krn sarang mafia uda ga bs macem mknya menyerang bribadi,1
gagal nih digoreng tetanggasaya harap pengamat jgn byk omongseolah olah prestasi,1
yg heran org akmal undang tv,1
towelapa gunanya pemain liga hilang komentar makan dah roh nya timnas liga pemain liga hilang sty,1
udah gak sabar ni,1
kalo akmal enak ngobrol nonton kalo bintang tamu,1
ga proses pasca pemecatan sty buktikan wkwkkwwk,1
kenpa akmal iini diundang aura negatif aja,1
jgn krna duit rela hancurkan timnas,1
stasiun tv tau pengamat abal yg memecah belah timnas nda undang,1
terrlalu komentar,0
ayo erik hrs gebrakan timnas blm juara aff blm juara asia afc blm lolos piala dunia rangking fifa blm prestasi,1
goreng tv one beda,1
akmal ente bnr bnget indonesia layak piala dunia tpi berlaku yg maen pemain lokal yg dianggap layak buka mata yg lebar timnas yg yg maen faham gak loe orang koq tdk berkaca,1
pengamat bola si akmal ni,0
tvone bahas sepak bola agenda sisipkan,1
dlm pertndingan sdh tau pemain yg bagus tidk,1
akmal sikat gigi napa plisss kuning kali gigi nya plissss gosok gigi nya,1
si hoki anak kesayangan sty semoga coret diganti ramadan sananta,1
km manhsia gak konsisten sebentar bilang sty hoki mencle kau,1
buktikn azah,0
fakta lihat aja pemain naturalisasi masuk klub papan liga cadangan mess hilgers klub papan starting faktanya layak,1
yg membinasakan akmal towel,1
layak nya gajah pengamat payah,1
mantab mas akmal positif objektif bravo patrick kluivert cs garuda,1
akmal cari makan nie tvone podcastnya gak laku,1
negri sebelah revolusi harimau malaya tgl desember,1
towel akmal endors tv one membenci timnas,1
peluangnya yg lolos namanya momentum diam berkoar fokus tujuan media indonesia ramai untungnya mayoritas pemain timnas eropa indonesia fokus momentumnya hilang,1
alhamdulilah mental timnas terangkat karna pelatih baruilmu pengetahuan barusemangat,1
akmal akmal,0
ngapain ngundang akmal orang gak diundang tv one tv one klo pengamat mantan pemain bola,1
akmal mantan pemain bola peenah kulaiah fpok sih,1
timnas menang vs australia skorenya ndak tauhanya pertanyaannya timnas menangmari tunggu,1
optimis apapun,0
nya mauro ziltra permainan nya gak sebagus marcelinoyakup sayuriwithan sulaimanegi maulana fikri diproses naturisasi nya,1
tv wan emang media pemecah bangsa aja undang orsng model,1
yg mustahil allah udah kun faya kun indonesia masuk pildun,1
buktikan maret,0
akmal asisten pelatih alex pastoor ahli meracik taktik penontong asisten toel akmel marheli ahli meracik katakatok,1
hei tv gk klo ngundang narasumber tuh jgn handuk mali cs jgn kasih panggung,1
gx jgx timnas lolos piala dunia media indonesia membesar besarkan kluivert kluivert gx yg diharapkan pelatih blnda,1
tim peluang lolos yg salahnya suporter bermimpi erik berusaha mewujudkannya suporter mendukungnya,1
media ko ga bahas rumput gbk yah,1
yg nara sumbernya si nurdin halid,0
akmal yg sdah langanan besok putus ganti indonesia yg berlanganan,1
akmal ngerti cm jualan berita kali jualan gorengan,1
wkk giliran sty bilang belom layak piala dunia pas pelatih ngoceh lolos piala dunia aneh,1
akmol keminter,0
oke lanjutkan perjuangan timnas garuda bravo garuda,1
sat set jairo ole merdeka,0
one blood one nation,0
salam pancasila tv one,0
salam pancasila salam merah putih salam nkri merdeka,1
buktikan dunia timnas garuda pildun merdeka,1
paltruk dinaturlisasi ya bang,1
alasan berprestasi merdeka,0
pemain bersatu utk mengalahkan australia bahrain,1
et emang mantap,1
tim blm layak pildunsiapapun pelatihnya gak loloswkwkwkw,1
akmal bosentv one tlg klo komentator yg bagusan jgn kayak akmal yg sokn tau ttg bolakayak ndak pandit bola yg bagusan akmal,1
paesjaymessverdonkdiksivarjairohayeelianoragnarole emilridhojordinathanshanemarcengmrisaldisadilhubnersandyhubnersanantakloklilypaly,0
q muak mukanya akmalvix mafia,1
muda skill mentalpemain mudapun,1
piala dunia yg mustahil timnas indonesia,1
optimis merusak mimpi masuk piala dunia menghina timnas memangnya timnas kayak pingin merusak tinas,1
optimis merusak mimpi masuk piala dunia menghina timnas memangnya timnas kayak pingin merusak tinas,1
optimis merusak mimpi masuk piala dunia menghina timnas memangnya timnas kayak pingin merusak tinas,1
optimis merusak mimpi masuk piala dunia menghina timnas memangnya timnas kayak pingin merusak tinas,1
erik n arya tlng jngn dinaturalisasi naturalisasilah sesuai kebutuhan tlng masukan pep lijnders ditim kepelatihan masuk staffnya kluivert ato dirtek terimakasih,1
klo omongannya pesimissampai kiamat ga masuk pildumoleh wajib support optimis dukung timnas gitu aja repottoh kaga ngerugiin,1
yuk timnas bisaaa dengn pelatih kelas dunia alex pastoor professor,1
akmalpercaya donkkita tembus piala dunia jg bilang blm layak masuk piala dunia,1
moga mas jarok mang ole cepet naturalisasi,1
coach justin diwawancarai liputan sport beliau nggak membandingkan sty pk berpikir et timnas pecat pelatih diganti pelatih asisten pelatih ayolah netizen mendukung timnas indonesia terpecah belah gara dipecatnya sty,1
tiwil pemecatan sty memperkeruh suasana timas lolos piala dunia tautaunya ganti pelatih kelas dunia asistenya mewah pemain naturalisasi bertambah tunggu serangan antekantek tiwil menebar fitnah menjatuhkan citra pelatih indonesia,1
tv one suka bangat undang akmalini apadan tujuanya apaakmal tu siapadan prestasinya disepak bola apaakmal akmal sampean tu optimis dongngasi suport biar pemain semangat menatap piala dunia,1
layak gimana sihakmal kayahnya nggak suka kalo timnas berprestasiada aja komennya dasar,1
tv kontroversial tnya sosok kontroversial u mencari viewers mempedulikan fungsi media u mengedukasi bangsamiris semoga blacklist pemerintah,1
tv one bahas bola si towel akmal hoki diundang,1
muke pk suram,1
layaknya teorinya simple u lolos afc berbaikan pemain keturunan berbakat arab kalah australi imbang layaknya great asia afrika eropa pengamat logikanya dakal kalah pinter pssi sty diragukan persentasennya persen berani bilsng masuk pildun itulsh prlatih berpengalsmsn target,1
layak kepiala duniakarena layaknya jual pertandinganhahaa,1
bravo timnas pildun terbanglah garuda pelatih pk cs,1
